EXPERIMENT thread=2 width=100 height=100000 repeat=25 hyperthread=1 size(Mib)=3814.697
func,u,s,e
fast,   0.411329,   0.000010,   0.411166,
slow_a, 0.759742,   0.000002,   0.759424,
slow_b, 0.981268,   0.000000,   0.980941,
slow_c, 2.552939,   0.000000,   2.551938,
slow_d, 6.881203,   0.000000,   6.878500,
slow_e, 3.920459,   0.000000,   3.919082,
slow_f, 0.411476,   0.000000,   0.411335,
